frontier_index,candidate_index,A,B,C,D,E,role_pairs,q_edge_ids,expected_role_pairs,expected_sources,expected_targets,delta_profile,expected_delta_profile,class_profile,expected_class_profile,relative_to_C_signature,relative_to_B_signature,slot_delta_signature,role_pair_replay,q_edge_count_ok,q_edge_unique,body_edge_replay,direct_edge_replay_count,undirected_edge_replay_count,successor_signature_replay,deferred_candidate,current_gate_backed,structural_replay_pass,gate_receipt_status,failure_reasons
1,77698,3,4,5,10,7,03_04 04_05 10_05 10_07,tuple_edge_609 tuple_edge_1041 tuple_edge_1202 tuple_edge_1760,03_04 04_05 10_05 10_07,3:23 4:54 10:23 10:24,4:23 5:24 5:23 7:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,13 14 0 5 2,14 0 1 6 3,1 1 10 12,true,true,true,true,2,4,true,true,false,true,requires_own_future_gate_receipt,none
2,77701,3,4,5,10,11,03_04 04_05 10_05 10_11,tuple_edge_609 tuple_edge_1041 tuple_edge_1202 tuple_edge_2586,03_04 04_05 10_05 10_11,3:23 4:54 10:23 10:24,4:23 5:24 5:23 11:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,13 14 0 5 6,14 0 1 6 7,1 1 10 1,true,true,true,true,3,4,true,true,false,true,requires_own_future_gate_receipt,none
3,77704,3,4,5,10,14,03_04 04_05 10_05 10_14,tuple_edge_609 tuple_edge_1041 tuple_edge_1202 tuple_edge_2587,03_04 04_05 10_05 10_14,3:23 4:54 10:23 10:24,4:23 5:24 5:23 14:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,13 14 0 5 9,14 0 1 6 10,1 1 10 4,true,true,true,true,3,4,true,true,false,true,requires_own_future_gate_receipt,none
4,77743,3,4,5,14,8,03_04 04_05 14_05 14_08,tuple_edge_609 tuple_edge_1041 tuple_edge_1203 tuple_edge_2041,03_04 04_05 14_05 14_08,3:23 4:54 14:23 14:24,4:23 5:24 5:23 8:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,13 14 0 9 3,14 0 1 10 4,1 1 6 9,true,true,true,true,2,4,true,true,false,true,requires_own_future_gate_receipt,none
5,77745,3,4,5,14,10,03_04 04_05 14_05 14_10,tuple_edge_609 tuple_edge_1041 tuple_edge_1203 tuple_edge_2587,03_04 04_05 14_05 14_10,3:23 4:54 14:23 14:24,4:23 5:24 5:23 10:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,13 14 0 9 5,14 0 1 10 6,1 1 6 11,true,true,true,true,2,4,true,true,false,true,requires_own_future_gate_receipt,none
6,77748,3,4,5,14,13,03_04 04_05 14_05 14_13,tuple_edge_609 tuple_edge_1041 tuple_edge_1203 tuple_edge_3292,03_04 04_05 14_05 14_13,3:23 4:54 14:23 14:24,4:23 5:24 5:23 13:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,13 14 0 9 8,14 0 1 10 9,1 1 6 14,true,true,true,true,2,4,true,true,false,true,requires_own_future_gate_receipt,none
7,87062,3,9,11,7,10,03_09 09_11 07_11 07_10,tuple_edge_611 tuple_edge_2424 tuple_edge_1759 tuple_edge_1760,03_09 09_11 07_11 07_10,3:23 9:54 7:23 7:24,9:23 11:24 11:23 10:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,7 13 0 11 14,9 0 2 13 1,6 2 4 3,true,true,true,true,4,4,true,true,false,true,requires_own_future_gate_receipt,none
8,87081,3,9,11,10,5,03_09 09_11 10_11 10_05,tuple_edge_611 tuple_edge_2424 tuple_edge_2584 tuple_edge_1204,03_09 09_11 10_11 10_05,3:23 9:54 10:23 10:24,9:23 11:24 11:23 5:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,7 13 0 14 9,9 0 2 1 11,6 2 1 10,true,true,true,true,3,4,true,true,false,true,requires_own_future_gate_receipt,none
9,87083,3,9,11,10,7,03_09 09_11 10_11 10_07,tuple_edge_611 tuple_edge_2424 tuple_edge_2584 tuple_edge_1760,03_09 09_11 10_11 10_07,3:23 9:54 10:23 10:24,9:23 11:24 11:23 7:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,7 13 0 14 11,9 0 2 1 13,6 2 1 12,true,true,true,true,3,4,true,true,false,true,requires_own_future_gate_receipt,none
10,87087,3,9,11,10,14,03_09 09_11 10_11 10_14,tuple_edge_611 tuple_edge_2424 tuple_edge_2584 tuple_edge_2587,03_09 09_11 10_11 10_14,3:23 9:54 10:23 10:24,9:23 11:24 11:23 14:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,7 13 0 14 3,9 0 2 1 5,6 2 1 4,true,true,true,true,4,4,true,true,false,true,requires_own_future_gate_receipt,none
11,87236,3,9,12,13,6,03_09 09_12 13_12 13_06,tuple_edge_611 tuple_edge_2425 tuple_edge_3070 tuple_edge_1475,03_09 09_12 13_12 13_06,3:23 9:54 13:23 13:24,9:23 12:24 12:23 6:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,6 12 0 1 9,9 0 3 4 12,6 3 14 8,true,true,true,true,2,4,true,true,false,true,requires_own_future_gate_receipt,none
12,87238,3,9,12,13,8,03_09 09_12 13_12 13_08,tuple_edge_611 tuple_edge_2425 tuple_edge_3070 tuple_edge_2040,03_09 09_12 13_12 13_08,3:23 9:54 13:23 13:24,9:23 12:24 12:23 8:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,6 12 0 1 11,9 0 3 4 14,6 3 14 10,true,true,true,true,2,4,true,true,false,true,requires_own_future_gate_receipt,none
13,87241,3,9,12,13,14,03_09 09_12 13_12 13_14,tuple_edge_611 tuple_edge_2425 tuple_edge_3070 tuple_edge_3292,03_09 09_12 13_12 13_14,3:23 9:54 13:23 13:24,9:23 12:24 12:23 14:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,6 12 0 1 2,9 0 3 4 5,6 3 14 1,true,true,true,true,3,4,true,true,false,true,requires_own_future_gate_receipt,none
14,102151,4,3,8,13,6,04_03 03_08 13_08 13_06,tuple_edge_609 tuple_edge_766 tuple_edge_2038 tuple_edge_1475,04_03 03_08 13_08 13_06,4:23 3:54 13:23 13:24,3:23 8:24 8:23 6:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,11 10 0 5 13,1 0 5 10 3,14 5 10 8,true,true,true,true,1,4,true,true,false,true,requires_own_future_gate_receipt,none
15,102156,4,3,8,13,12,04_03 03_08 13_08 13_12,tuple_edge_609 tuple_edge_766 tuple_edge_2038 tuple_edge_3071,04_03 03_08 13_08 13_12,4:23 3:54 13:23 13:24,3:23 8:24 8:23 12:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,11 10 0 5 4,1 0 5 10 9,14 5 10 14,true,true,true,true,1,4,true,true,false,true,requires_own_future_gate_receipt,none
16,102157,4,3,8,13,14,04_03 03_08 13_08 13_14,tuple_edge_609 tuple_edge_766 tuple_edge_2038 tuple_edge_3292,04_03 03_08 13_08 13_14,4:23 3:54 13:23 13:24,3:23 8:24 8:23 14:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,11 10 0 5 6,1 0 5 10 11,14 5 10 1,true,true,true,true,2,4,true,true,false,true,requires_own_future_gate_receipt,none
17,102161,4,3,8,14,5,04_03 03_08 14_08 14_05,tuple_edge_609 tuple_edge_766 tuple_edge_2039 tuple_edge_1205,04_03 03_08 14_08 14_05,4:23 3:54 14:23 14:24,3:23 8:24 8:23 5:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,11 10 0 6 12,1 0 5 11 2,14 5 9 6,true,true,true,true,1,4,true,true,false,true,requires_own_future_gate_receipt,none
18,102165,4,3,8,14,10,04_03 03_08 14_08 14_10,tuple_edge_609 tuple_edge_766 tuple_edge_2039 tuple_edge_2587,04_03 03_08 14_08 14_10,4:23 3:54 14:23 14:24,3:23 8:24 8:23 10:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,11 10 0 6 2,1 0 5 11 7,14 5 9 11,true,true,true,true,1,4,true,true,false,true,requires_own_future_gate_receipt,none
19,102168,4,3,8,14,13,04_03 03_08 14_08 14_13,tuple_edge_609 tuple_edge_766 tuple_edge_2039 tuple_edge_3292,04_03 03_08 14_08 14_13,4:23 3:54 14:23 14:24,3:23 8:24 8:23 13:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,11 10 0 6 5,1 0 5 11 10,14 5 9 14,true,true,true,true,1,4,true,true,false,true,requires_own_future_gate_receipt,none
20,111086,4,9,11,7,10,04_09 09_11 07_11 07_10,tuple_edge_920 tuple_edge_2424 tuple_edge_1759 tuple_edge_1760,04_09 09_11 07_11 07_10,4:23 9:54 7:23 7:24,9:23 11:24 11:23 10:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,8 13 0 11 14,10 0 2 13 1,5 2 4 3,true,true,true,true,4,4,true,true,false,true,requires_own_future_gate_receipt,none
21,111105,4,9,11,10,5,04_09 09_11 10_11 10_05,tuple_edge_920 tuple_edge_2424 tuple_edge_2584 tuple_edge_1204,04_09 09_11 10_11 10_05,4:23 9:54 10:23 10:24,9:23 11:24 11:23 5:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,8 13 0 14 9,10 0 2 1 11,5 2 1 10,true,true,true,true,3,4,true,true,false,true,requires_own_future_gate_receipt,none
22,111107,4,9,11,10,7,04_09 09_11 10_11 10_07,tuple_edge_920 tuple_edge_2424 tuple_edge_2584 tuple_edge_1760,04_09 09_11 10_11 10_07,4:23 9:54 10:23 10:24,9:23 11:24 11:23 7:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,8 13 0 14 11,10 0 2 1 13,5 2 1 12,true,true,true,true,3,4,true,true,false,true,requires_own_future_gate_receipt,none
23,111111,4,9,11,10,14,04_09 09_11 10_11 10_14,tuple_edge_920 tuple_edge_2424 tuple_edge_2584 tuple_edge_2587,04_09 09_11 10_11 10_14,4:23 9:54 10:23 10:24,9:23 11:24 11:23 14:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,8 13 0 14 3,10 0 2 1 5,5 2 1 4,true,true,true,true,4,4,true,true,false,true,requires_own_future_gate_receipt,none
24,111209,4,9,12,6,13,04_09 09_12 06_12 06_13,tuple_edge_920 tuple_edge_2425 tuple_edge_1472 tuple_edge_1475,04_09 09_12 06_12 06_13,4:23 9:54 6:23 6:24,9:23 12:24 12:23 13:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,7 12 0 9 1,10 0 3 12 4,5 3 6 7,true,true,true,true,4,4,true,true,false,true,requires_own_future_gate_receipt,none
25,111260,4,9,12,13,6,04_09 09_12 13_12 13_06,tuple_edge_920 tuple_edge_2425 tuple_edge_3070 tuple_edge_1475,04_09 09_12 13_12 13_06,4:23 9:54 13:23 13:24,9:23 12:24 12:23 6:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,7 12 0 1 9,10 0 3 4 12,5 3 14 8,true,true,true,true,2,4,true,true,false,true,requires_own_future_gate_receipt,none
26,111262,4,9,12,13,8,04_09 09_12 13_12 13_08,tuple_edge_920 tuple_edge_2425 tuple_edge_3070 tuple_edge_2040,04_09 09_12 13_12 13_08,4:23 9:54 13:23 13:24,9:23 12:24 12:23 8:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,7 12 0 1 11,10 0 3 4 14,5 3 14 10,true,true,true,true,2,4,true,true,false,true,requires_own_future_gate_receipt,none
27,111265,4,9,12,13,14,04_09 09_12 13_12 13_14,tuple_edge_920 tuple_edge_2425 tuple_edge_3070 tuple_edge_3292,04_09 09_12 13_12 13_14,4:23 9:54 13:23 13:24,9:23 12:24 12:23 14:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,7 12 0 1 2,10 0 3 4 5,5 3 14 1,true,true,true,true,3,4,true,true,false,true,requires_own_future_gate_receipt,none
28,164113,6,12,9,3,4,06_12 12_09 03_09 03_04,tuple_edge_1472 tuple_edge_2309 tuple_edge_611 tuple_edge_612,06_12 12_09 03_09 03_04,6:23 12:54 3:23 3:24,12:23 9:24 9:23 4:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,12 3 0 9 10,9 0 12 6 7,6 12 6 1,true,true,true,true,3,4,true,true,false,true,requires_own_future_gate_receipt,none
29,164124,6,12,9,4,3,06_12 12_09 04_09 04_03,tuple_edge_1472 tuple_edge_2309 tuple_edge_920 tuple_edge_612,06_12 12_09 04_09 04_03,6:23 12:54 4:23 4:24,12:23 9:24 9:23 3:24,0 30 0 0,0 30 0 0,same repair same same,same repair same same,12 3 0 10 9,9 0 12 7 6,6 12 5 14,true,true,true,true,2,4,true,true,false,true,requires_own_future_gate_receipt,none
