summary_id,summary_name,count,interpretation,promotion_status
054-S1,boundary_carrier_universe_count,30,Boundary carrier universe tested for return-hub seam source law.,input
054-S2,target_seam_count,1,Target seam edge inherited from 053 for evaluation.,evaluation_target
054-S3,exact_strength_fingerprint_count,4,Exact scalar strength fingerprints selecting the seam.,not_source_law
054-S4,exact_rank_fingerprint_count,0,Exact local rank fingerprints selecting the seam.,not_source_law
054-S5,exact_role_cut_handle_count,4,Exact role/cut handles selecting the seam.,not_source_law
054-S6,blocked_identity_exact_count,2,Exact selectors blocked as identity or endpoint labels.,blocked
054-S7,native_source_law_candidate_count,0,Candidate source laws promoted by this audit.,locked_zero
054-S8,source_law_promotions,0,No source law is promoted.,locked
054-S9,family_promotions,0,No transport family is promoted.,locked
054-S10,admission_promotions,0,No permission channel or information transport is admitted.,locked
