blocked_reason,fields,values,selector_expression,bucket_size,frontier_indices,candidate_indices
resembles_022_selector_components_role_pairs_contains_03_09_and_E_13,role_pairs E,contains(03_09) | 13,role_pairs CONTAINS 03_09 AND E=13,0,,
selector_value_leak,A B D,13 | 12 | 3,A=13 AND B=12 AND D=3,1,62,334129
selector_value_leak,A B D,13 | 12 | 4,A=13 AND B=12 AND D=4,1,63,334140
selector_value_leak,A B D,13 | 12 | 7,A=13 AND B=12 AND D=7,1,64,334443
selector_value_leak,A B D,13 | 8 | 4,A=13 AND B=8 AND D=4,1,60,326476
selector_value_leak,A B D,13 | 8 | 9,A=13 AND B=8 AND D=9,1,61,326517
selector_value_leak,A B E,10 | 11 | 13,A=10 AND B=11 AND E=13,1,56,258796
selector_value_leak,A B E,13 | 12 | 10,A=13 AND B=12 AND E=10,1,64,334443
selector_value_leak,A B E,13 | 12 | 14,A=13 AND B=12 AND E=14,1,67,334477
selector_value_leak,A B E,13 | 12 | 3,A=13 AND B=12 AND E=3,1,63,334140
selector_value_leak,A B E,13 | 12 | 4,A=13 AND B=12 AND E=4,1,62,334129
selector_value_leak,A B E,13 | 12 | 5,A=13 AND B=12 AND E=5,1,65,334472
selector_value_leak,A B E,13 | 12 | 7,A=13 AND B=12 AND E=7,1,66,334474
selector_value_leak,A B E,13 | 8 | 4,A=13 AND B=8 AND E=4,1,61,326517
selector_value_leak,A B E,13 | 8 | 9,A=13 AND B=8 AND E=9,1,60,326476
selector_value_leak,A B E,3 | 4 | 13,A=3 AND B=4 AND E=13,1,6,77748
selector_value_leak,A B E,4 | 3 | 13,A=4 AND B=3 AND E=13,1,19,102168
selector_value_leak,A B E,4 | 9 | 13,A=4 AND B=9 AND E=13,1,24,111209
selector_value_leak,A B E,7 | 11 | 13,A=7 AND B=11 AND E=13,1,36,186724
selector_value_leak,A B E,9 | 3 | 13,A=9 AND B=3 AND E=13,1,45,222420
selector_value_leak,A B E,9 | 4 | 13,A=9 AND B=4 AND E=13,1,51,223740
selector_value_leak,A C D,13 | 11 | 7,A=13 AND C=11 AND D=7,1,64,334443
selector_value_leak,A C D,13 | 3 | 4,A=13 AND C=3 AND D=4,1,60,326476
selector_value_leak,A C D,13 | 3 | 9,A=13 AND C=3 AND D=9,1,61,326517
selector_value_leak,A C D,13 | 9 | 3,A=13 AND C=9 AND D=3,1,62,334129
selector_value_leak,A C D,13 | 9 | 4,A=13 AND C=9 AND D=4,1,63,334140
selector_value_leak,A C E,10 | 12 | 13,A=10 AND C=12 AND E=13,1,56,258796
selector_value_leak,A C E,13 | 11 | 10,A=13 AND C=11 AND E=10,1,64,334443
selector_value_leak,A C E,13 | 11 | 14,A=13 AND C=11 AND E=14,1,67,334477
selector_value_leak,A C E,13 | 11 | 5,A=13 AND C=11 AND E=5,1,65,334472
selector_value_leak,A C E,13 | 11 | 7,A=13 AND C=11 AND E=7,1,66,334474
selector_value_leak,A C E,13 | 3 | 4,A=13 AND C=3 AND E=4,1,61,326517
selector_value_leak,A C E,13 | 3 | 9,A=13 AND C=3 AND E=9,1,60,326476
selector_value_leak,A C E,13 | 9 | 3,A=13 AND C=9 AND E=3,1,63,334140
selector_value_leak,A C E,13 | 9 | 4,A=13 AND C=9 AND E=4,1,62,334129
