summary_id,summary_name,value,status,interpretation
008-S001,running_sheet,3840,running,Running state records live sheet advancement.
008-S002,step_forward_sheet,5036,paused,Step-forward state is paused after manual control recovered.
008-S003,step_back_sheet,5035,paused,Step-back state is paused after one-sheet decrement.
008-S004,run_to_forward_delta,1196,positive,Live running advanced sheets before manual stepping.
008-S005,forward_to_back_delta,-1,minus_one,Back-step decremented exactly one sheet.
008-S006,sheets_per_second,240,preserved,All states preserve the 240 sheets/sec sample rate.
008-S007,body,900 vertices / 3600 edges,fixed,G900 body remains fixed across the sequence.
008-S008,source_law_promoted,false,locked_zero,Run-step roundtrip does not promote timing to source law.
008-S009,physics_claim,false,locked_zero,Run-step roundtrip makes no physics claim.
008-S010,body_mutation,false,locked_zero,Run-step roundtrip does not mutate the body.
