field,category,usability,search_class,reason,distinct_count,min_bucket_size,max_bucket_size,singleton_bucket_count,contains_03_09_count,contains_13_count,examples
frontier_index,identity_index,guarded_identity_index,guarded_excluded,guarded identity/result/label-like field,71,1,1,71,0,1,1 | 10 | 11 | 12 | 13 | 14
candidate_index,identity_index,guarded_identity_index,guarded_excluded,guarded identity/result/label-like field,71,1,1,71,0,0,102151 | 102156 | 102157 | 102161 | 102165 | 102168
A,candidate_tuple,candidate_choice_variable,strong_search_allowed,structural nonconstant nonidentity field,8,4,14,0,0,8,10 | 13 | 14 | 3 | 4 | 6
B,candidate_tuple,candidate_choice_variable,strong_search_allowed,structural nonconstant nonidentity field,7,4,15,0,0,0,11 | 12 | 3 | 4 | 5 | 8
C,candidate_tuple,candidate_choice_variable,strong_search_allowed,structural nonconstant nonidentity field,7,4,16,0,0,0,11 | 12 | 3 | 4 | 5 | 8
D,candidate_tuple,candidate_choice_variable,strong_search_allowed,structural nonconstant nonidentity field,8,3,18,0,0,18,10 | 13 | 14 | 3 | 4 | 6
E,candidate_tuple,candidate_choice_variable,strong_search_allowed,structural nonconstant nonidentity field,12,2,12,0,0,7,10 | 11 | 12 | 13 | 14 | 3
role_pairs,role,candidate_choice_variable,identity_like_excluded,too sharp or row-identity-like,71,1,1,71,13,0,03_04 04_05 10_05 10_07 | 03_04 04_05 10_05 10_11 | 03_04 04_05 10_05 10_14 | 03_04 04_05 14_05 14_08 | 03_04 04_05 14_05 14_10 | 03_04 04_05 14_05 14_13
q_edge_ids,carrier_incidence,candidate_choice_variable,identity_like_excluded,too sharp or row-identity-like,71,1,1,71,0,0,tuple_edge_1202 tuple_edge_921 tuple_edge_609 tuple_edge_614 | tuple_edge_1202 tuple_edge_921 tuple_edge_920 tuple_edge_614 | tuple_edge_1203 tuple_edge_921 tuple_edge_609 tuple_edge_614 | tuple_edge_1203 tuple_edge_921 tuple_edge_920 tuple_edge_614 | tuple_edge_1472 tuple_edge_2309 tuple_edge_611 tuple_edge_612 | tuple_edge_1472 tuple_edge_2309 tuple_edge_920 tuple_edge_612
expected_role_pairs,result_or_label_guarded,guarded_result_or_label_like,guarded_excluded,guarded identity/result/label-like field,71,1,1,71,13,0,03_04 04_05 10_05 10_07 | 03_04 04_05 10_05 10_11 | 03_04 04_05 10_05 10_14 | 03_04 04_05 14_05 14_08 | 03_04 04_05 14_05 14_10 | 03_04 04_05 14_05 14_13
expected_sources,result_or_label_guarded,guarded_result_or_label_like,guarded_excluded,guarded identity/result/label-like field,39,1,3,23,0,0,10:23 11:54 13:23 13:24 | 10:23 11:54 3:23 3:24 | 10:23 11:54 4:23 4:24 | 10:23 11:54 6:23 6:24 | 10:23 5:54 3:23 3:24 | 10:23 5:54 9:23 9:24
expected_targets,result_or_label_guarded,guarded_result_or_label_like,guarded_excluded,guarded identity/result/label-like field,36,1,2,1,0,0,11:23 12:24 12:23 13:24 | 11:23 12:24 12:23 14:24 | 11:23 12:24 12:23 6:24 | 11:23 12:24 12:23 8:24 | 11:23 9:24 9:23 3:24 | 11:23 9:24 9:23 4:24
delta_profile,phase_transition,candidate_choice_variable,constant_excluded,constant across frontier,1,71,71,0,0,0,0 30 0 0
expected_delta_profile,result_or_label_guarded,guarded_result_or_label_like,guarded_excluded,guarded identity/result/label-like field,1,71,71,0,0,0,0 30 0 0
class_profile,support_package,candidate_choice_variable,constant_excluded,constant across frontier,1,71,71,0,0,0,same repair same same
expected_class_profile,result_or_label_guarded,guarded_result_or_label_like,guarded_excluded,guarded identity/result/label-like field,1,71,71,0,0,0,same repair same same
relative_to_C_signature,source_transport,candidate_choice_variable,identity_like_excluded,too sharp or row-identity-like,71,1,1,71,0,22,1 10 0 5 13 | 1 10 0 5 4 | 1 10 0 5 6 | 1 10 0 6 12 | 1 10 0 6 2 | 1 10 0 6 5
relative_to_B_signature,source_transport,candidate_choice_variable,identity_like_excluded,too sharp or row-identity-like,71,1,1,71,0,20,1 0 12 6 7 | 1 0 12 7 6 | 1 0 14 10 13 | 1 0 14 13 10 | 1 0 14 13 2 | 1 0 14 13 8
slot_delta_signature,carrier_incidence,candidate_choice_variable,identity_like_excluded,too sharp or row-identity-like,71,1,1,71,0,4,1 1 10 1 | 1 1 10 12 | 1 1 10 4 | 1 1 14 1 | 1 1 14 10 | 1 1 14 8
role_pair_replay,result_or_label_guarded,guarded_result_or_label_like,guarded_excluded,guarded identity/result/label-like field,1,71,71,0,0,0,true
q_edge_count_ok,result_or_label_guarded,guarded_result_or_label_like,guarded_excluded,guarded identity/result/label-like field,1,71,71,0,0,0,true
q_edge_unique,result_or_label_guarded,guarded_result_or_label_like,guarded_excluded,guarded identity/result/label-like field,1,71,71,0,0,0,true
body_edge_replay,result_or_label_guarded,guarded_result_or_label_like,guarded_excluded,guarded identity/result/label-like field,1,71,71,0,0,0,true
direct_edge_replay_count,result_or_label_guarded,guarded_result_or_label_like,guarded_excluded,guarded identity/result/label-like field,5,4,26,0,0,0,0 | 1 | 2 | 3 | 4
undirected_edge_replay_count,result_or_label_guarded,guarded_result_or_label_like,guarded_excluded,guarded identity/result/label-like field,1,71,71,0,0,0,4
successor_signature_replay,result_or_label_guarded,guarded_result_or_label_like,guarded_excluded,guarded identity/result/label-like field,1,71,71,0,0,0,true
deferred_candidate,result_or_label_guarded,guarded_result_or_label_like,guarded_excluded,guarded identity/result/label-like field,1,71,71,0,0,0,true
current_gate_backed,result_or_label_guarded,guarded_result_or_label_like,guarded_excluded,guarded identity/result/label-like field,1,71,71,0,0,0,false
structural_replay_pass,result_or_label_guarded,guarded_result_or_label_like,guarded_excluded,guarded identity/result/label-like field,1,71,71,0,0,0,true
gate_receipt_status,result_or_label_guarded,guarded_result_or_label_like,guarded_excluded,guarded identity/result/label-like field,1,71,71,0,0,0,requires_own_future_gate_receipt
failure_reasons,result_or_label_guarded,guarded_result_or_label_like,guarded_excluded,guarded identity/result/label-like field,1,71,71,0,0,0,none
