summary_id,summary_name,count,interpretation,promotion_status
055-S1,boundary_carrier_universe_count,30,Boundary carrier universe searched before importing role grammar.,input
055-S2,candidate_feature_count,20,Pre-role scalar/profile features in the tested family.,search_family
055-S3,selector_test_count,210,Single-feature and two-feature selectors tested.,search_family
055-S4,exact_selector_count,182,Exact selectors found before role grammar.,fingerprints_only
055-S5,exact_single_feature_count,11,Exact one-feature fingerprints.,fingerprints_only
055-S6,exact_scalar_strength_count,39,Exact scalar strength fingerprints.,fingerprints_only
055-S7,exact_local_profile_count,56,Exact local profile fingerprints.,fingerprints_only
055-S8,candidate_family_forbidden_import_count,0,"Whether the candidate feature family imports slot14, role, cut, anchor, or endpoint identity terms.",gate
055-S9,native_source_law_candidate_count,0,Constructive source laws promoted by this pre-role search.,locked_zero
055-S10,admission_promotions,0,No permission channel or information transport is admitted.,locked
