hypothesis_id,hypothesis_status,feature_a,feature_b,seed_value_a,seed_value_b,selector_expression,bucket_count,negative_bucket_count,exact_selects_seed,feature_a_kind,feature_b_kind,feature_a_side,feature_b_side,feature_a_seed_bucket_count,feature_b_seed_bucket_count,feature_a_distinct_count,feature_b_distinct_count,individual_bucket_product,individual_bucket_sum,crosses_sides,uses_support_set,uses_role_pair,uses_role_vertex,admission_effect,new_permission_channel_admitted,new_information_transport_admitted,new_flux_witness_declared
pair_selector_hypothesis_e470e0c88411,exact_pair_admission_hypothesis_candidate,role.AB,role.E,03_09,13,role.AB=03_09 AND role.E=13,1,0,true,role_pair,role_vertex,left_entry_repair,right_exit_support,8,8,14,12,64,16,true,false,true,true,describes_seed_only_no_admission,false,false,false
pair_selector_hypothesis_4ed7d8bcb76e,exact_pair_admission_hypothesis_candidate,role.A,role.D,3,6,role.A=3 AND role.D=6,1,0,true,role_vertex,role_vertex,left_entry_repair,right_exit_support,14,4,8,8,56,18,true,false,false,true,describes_seed_only_no_admission,false,false,false
pair_selector_hypothesis_6796c6378d78,exact_pair_admission_hypothesis_candidate,role.A,role.DC,3,06_12,role.A=3 AND role.DC=06_12,1,0,true,role_vertex,role_pair,left_entry_repair,right_exit_support,14,4,8,14,56,18,true,false,true,true,describes_seed_only_no_admission,false,false,false
pair_selector_hypothesis_5d5c5592a24e,exact_pair_admission_hypothesis_candidate,role.A,role.DE,3,06_13,role.A=3 AND role.DE=06_13,1,0,true,role_vertex,role_pair,left_entry_repair,right_exit_support,14,4,8,20,56,18,true,false,true,true,describes_seed_only_no_admission,false,false,false
pair_selector_hypothesis_29f05a130fad,exact_pair_admission_hypothesis_candidate,role.AB,role.D,03_09,6,role.AB=03_09 AND role.D=6,1,0,true,role_pair,role_vertex,left_entry_repair,right_exit_support,8,4,14,8,32,12,true,false,true,true,describes_seed_only_no_admission,false,false,false
pair_selector_hypothesis_65531171cdcb,exact_pair_admission_hypothesis_candidate,role.AB,role.DC,03_09,06_12,role.AB=03_09 AND role.DC=06_12,1,0,true,role_pair,role_pair,left_entry_repair,right_exit_support,8,4,14,14,32,12,true,false,true,false,describes_seed_only_no_admission,false,false,false
pair_selector_hypothesis_df805fdc8d35,exact_pair_admission_hypothesis_candidate,role.AB,role.DE,03_09,06_13,role.AB=03_09 AND role.DE=06_13,1,0,true,role_pair,role_pair,left_entry_repair,right_exit_support,8,4,14,20,32,12,true,false,true,false,describes_seed_only_no_admission,false,false,false
pair_selector_hypothesis_3fb8f4359b3c,exact_pair_admission_hypothesis_candidate,role.E,support.slot_set,13,3 6 9 12 13,role.E=13 AND support.slot_set=3 6 9 12 13,1,0,true,role_vertex,support_set,right_exit_support,support_aggregate,8,2,12,48,16,10,true,true,false,true,describes_seed_only_no_admission,false,false,false
pair_selector_hypothesis_0434ec92cc3f,exact_pair_admission_hypothesis_candidate,role.D,support.slot_set,6,3 6 9 12 13,role.D=6 AND support.slot_set=3 6 9 12 13,1,0,true,role_vertex,support_set,right_exit_support,support_aggregate,4,2,8,48,8,6,true,true,false,true,describes_seed_only_no_admission,false,false,false
pair_selector_hypothesis_142deb61a5ea,exact_pair_admission_hypothesis_candidate,role.DC,support.slot_set,06_12,3 6 9 12 13,role.DC=06_12 AND support.slot_set=3 6 9 12 13,1,0,true,role_pair,support_set,right_exit_support,support_aggregate,4,2,14,48,8,6,true,true,true,false,describes_seed_only_no_admission,false,false,false
pair_selector_hypothesis_1e2c0a3aca51,exact_pair_admission_hypothesis_candidate,role.DE,support.slot_set,06_13,3 6 9 12 13,role.DE=06_13 AND support.slot_set=3 6 9 12 13,1,0,true,role_pair,support_set,right_exit_support,support_aggregate,4,2,20,48,8,6,true,true,true,false,describes_seed_only_no_admission,false,false,false
