stress_id,selector_expression,token,source_class,path,hit_kind
S0129,A=4 AND D=10,04_09,construction_surface,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv,primary_context_token
S0129,A=4 AND D=10,09_11,construction_surface,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv,primary_context_token
S0129,A=4 AND D=10,10_11,construction_surface,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv,primary_context_token
S0129,A=4 AND D=10,04_09,construction_surface,labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv,primary_context_token
S0129,A=4 AND D=10,09_11,construction_surface,labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv,primary_context_token
S0129,A=4 AND D=10,10_11,construction_surface,labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv,primary_context_token
S0129,A=4 AND D=10,04_09,other_surface,labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv,primary_context_token
S0129,A=4 AND D=10,09_11,other_surface,labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv,primary_context_token
S0129,A=4 AND D=10,10_11,other_surface,labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv,primary_context_token
S0129,A=4 AND D=10,04_09,construction_surface,labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv,primary_context_token
S0129,A=4 AND D=10,09_11,construction_surface,labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv,primary_context_token
S0129,A=4 AND D=10,10_11,construction_surface,labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv,primary_context_token
S0129,A=4 AND D=10,tuple_edge_2424,construction_surface,labs/g900_observatory/artifacts/csv/g900_slot12_composite_triangle_anatomy_001_transition_steps.v1.csv,primary_context_token
S0129,A=4 AND D=10,04_09,construction_surface,labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv,primary_context_token
S0129,A=4 AND D=10,09_11,construction_surface,labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv,primary_context_token
S0129,A=4 AND D=10,10_11,construction_surface,labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv,primary_context_token
S0129,A=4 AND D=10,tuple_edge_2424,construction_surface,labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv,primary_context_token
S0129,A=4 AND D=10,tuple_edge_2584,construction_surface,labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv,primary_context_token
S0129,A=4 AND D=10,tuple_edge_920,construction_surface,labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv,primary_context_token
S0129,A=4 AND D=10,04_09,other_surface,labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_near_misses.v1.csv,primary_context_token
S0129,A=4 AND D=10,09_11,other_surface,labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_near_misses.v1.csv,primary_context_token
S0129,A=4 AND D=10,10_11,other_surface,labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_near_misses.v1.csv,primary_context_token
S0129,A=4 AND D=10,04_09,other_surface,labs/g900_observatory/artifacts/csv/g900_transport_deferred_candidate_gate_audit_020_rows.v1.csv,primary_context_token
S0129,A=4 AND D=10,09_11,other_surface,labs/g900_observatory/artifacts/csv/g900_transport_deferred_candidate_gate_audit_020_rows.v1.csv,primary_context_token
