family_id,family_key,row_count,selector_sample,min_bucket_size,max_bucket_size,sharpness_counts,blocker_counts,unique_role_token_count,unique_tuple_token_count,sample_source_path_count,sample_role_tokens,sample_tuple_tokens,sample_source_paths,promoted_to_family_candidate,family_status
F0001,roles=03_04 03_09 05_04 :: tuples=tuple_edge_609 tuple_edge_614 tuple_edge_921,9,B=5 AND C=4 AND D=3 | B=5 AND C=4 AND E=9 | B=5 AND D=3 | B=5 AND D=3 AND E=9 | B=5 AND E=9 | C=4 AND D=3 | C=4 AND D=3 AND E=9 | C=4 AND E=9,2,2,"{""razor_small"": 9}","{""blocked_as_razor_small_until_proven"": 9}",3,3,8,03_04 03_09 05_04,tuple_edge_609 tuple_edge_614 tuple_edge_921,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_edge_limit_phase_scan_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_edge_overlap_candidate_inspection_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv,false,repeated_construction_memory_no_law
F0002,roles=04_03 04_09 08_03 :: tuples=tuple_edge_609 tuple_edge_613 tuple_edge_922,9,B=8 AND C=3 AND D=4 | B=8 AND C=3 AND E=9 | B=8 AND D=4 | B=8 AND D=4 AND E=9 | B=8 AND E=9 | C=3 AND D=4 | C=3 AND D=4 AND E=9 | C=3 AND E=9,2,2,"{""razor_small"": 9}","{""blocked_as_razor_small_until_proven"": 9}",3,3,8,04_03 04_09 08_03,tuple_edge_609 tuple_edge_613 tuple_edge_922,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_near_misses.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_candidate_gate_audit_020_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_frontier_symmetry_census_019_rows.v1.csv,false,repeated_construction_memory_no_law
F0003,roles=05_04 09_03 09_04 :: tuples=tuple_edge_614 tuple_edge_920 tuple_edge_921,9,B=5 AND C=4 AND D=9 | B=5 AND C=4 AND E=3 | B=5 AND D=9 | B=5 AND D=9 AND E=3 | B=5 AND E=3 | C=4 AND D=9 | C=4 AND D=9 AND E=3 | C=4 AND E=3,2,2,"{""razor_small"": 9}","{""blocked_as_razor_small_until_proven"": 9}",3,3,8,05_04 09_03 09_04,tuple_edge_614 tuple_edge_920 tuple_edge_921,labs/g900_observatory/artifacts/csv/g900_return_cell_carrier_incidence_packet_scout_002_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_near_misses.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_candidate_gate_audit_020_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_frontier_symmetry_census_019_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_gate_frontier_full_audit_018b_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_gate_frontier_worklist_018a.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_permission_gate_family_filter_016_candidates.v1.csv,false,repeated_construction_memory_no_law
F0004,roles=08_03 09_03 09_04 :: tuples=tuple_edge_611 tuple_edge_613 tuple_edge_922,9,B=8 AND C=3 AND D=9 | B=8 AND C=3 AND E=4 | B=8 AND D=9 | B=8 AND D=9 AND E=4 | B=8 AND E=4 | C=3 AND D=9 | C=3 AND D=9 AND E=4 | C=3 AND E=4,2,2,"{""razor_small"": 9}","{""blocked_as_razor_small_until_proven"": 9}",3,3,8,08_03 09_03 09_04,tuple_edge_611 tuple_edge_613 tuple_edge_922,labs/g900_observatory/artifacts/csv/g900_return_cell_bounded_information_transport_admission_007_history.v1.csv | labs/g900_observatory/artifacts/csv/g900_return_cell_carrier_incidence_packet_scout_002_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_return_cell_carrier_incidence_packet_scout_002_edges.v1.csv | labs/g900_observatory/artifacts/csv/g900_return_cell_conserved_packet_scout_001_edges.v1.csv | labs/g900_observatory/artifacts/csv/g900_return_cell_one_step_information_transport_support_audit_006_history.v1.csv | labs/g900_observatory/artifacts/csv/g900_return_cell_packet_successor_rule_scout_003_rule_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_return_cell_packet_successor_rule_scout_003_target_packet.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv,false,repeated_construction_memory_no_law
F0005,roles=04_05 10_05 10_11 :: tuples=tuple_edge_1041 tuple_edge_1202 tuple_edge_2586,7,B=4 AND C=5 AND E=11 | B=4 AND D=10 AND E=11 | B=4 AND E=11 | C=5 AND D=10 AND E=11 | C=5 AND E=11 | D=10 AND E=11 | E=11,2,2,"{""razor_small"": 7}","{""blocked_as_razor_small_until_proven"": 7}",3,3,8,04_05 10_05 10_11,tuple_edge_1041 tuple_edge_1202 tuple_edge_2586,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_edge_limit_phase_scan_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_near_misses.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_candidate_gate_audit_020_rows.v1.csv,false,repeated_construction_memory_no_law
F0006,roles=03_08 14_05 14_08 :: tuples=tuple_edge_1205 tuple_edge_2039 tuple_edge_766,6,B=3 AND C=8 AND E=5 | B=3 AND D=14 AND E=5 | B=3 AND E=5 | C=8 AND D=14 AND E=5 | C=8 AND E=5 | D=14 AND E=5,2,2,"{""razor_small"": 6}","{""blocked_as_razor_small_until_proven"": 6}",3,3,8,03_08 14_05 14_08,tuple_edge_1205 tuple_edge_2039 tuple_edge_766,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_near_misses.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_candidate_gate_audit_020_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_frontier_symmetry_census_019_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_gate_frontier_full_audit_018b_rows.v1.csv,false,repeated_construction_memory_no_law
F0007,roles=04_05 14_05 14_08 :: tuples=tuple_edge_1041 tuple_edge_1203 tuple_edge_2041,6,B=4 AND C=5 AND E=8 | B=4 AND D=14 AND E=8 | B=4 AND E=8 | C=5 AND D=14 AND E=8 | C=5 AND E=8 | D=14 AND E=8,2,2,"{""razor_small"": 6}","{""blocked_as_razor_small_until_proven"": 6}",3,3,8,04_05 14_05 14_08,tuple_edge_1041 tuple_edge_1203 tuple_edge_2041,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_edge_limit_phase_scan_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_projection_exception_handles_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_near_misses.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_candidate_gate_audit_020_rows.v1.csv,false,repeated_construction_memory_no_law
F0008,roles=03_04 03_09 11_09 :: tuples=tuple_edge_2308 tuple_edge_611 tuple_edge_612,5,B=11 AND C=9 AND D=3 | B=11 AND C=9 AND E=4 | B=11 AND D=3 | B=11 AND D=3 AND E=4 | B=11 AND E=4,2,2,"{""razor_small"": 5}","{""blocked_as_razor_small_until_proven"": 5}",3,3,8,03_04 03_09 11_09,tuple_edge_2308 tuple_edge_611 tuple_edge_612,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_edge_limit_phase_scan_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_edge_overlap_candidate_inspection_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv,false,repeated_construction_memory_no_law
F0009,roles=03_04 03_09 12_09 :: tuples=tuple_edge_2309 tuple_edge_611 tuple_edge_612,5,B=12 AND C=9 AND D=3 | B=12 AND C=9 AND E=4 | B=12 AND D=3 | B=12 AND D=3 AND E=4 | B=12 AND E=4,2,2,"{""razor_small"": 5}","{""blocked_as_razor_small_until_proven"": 5}",3,3,8,03_04 03_09 12_09,tuple_edge_2309 tuple_edge_611 tuple_edge_612,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_edge_limit_phase_scan_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_edge_overlap_candidate_inspection_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_package_support_audit_001_steps.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_phase_support_classification_001_packages.v1.csv | labs/g900_observatory/artifacts/csv/g900_full60_transition_package_anatomy_001_packages.v1.csv,false,repeated_construction_memory_no_law
F0010,roles=03_08 14_08 14_10 :: tuples=tuple_edge_2039 tuple_edge_2587 tuple_edge_766,5,B=3 AND C=8 AND E=10 | B=3 AND D=14 AND E=10 | B=3 AND E=10 | C=8 AND D=14 AND E=10 | C=8 AND E=10,2,2,"{""razor_small"": 5}","{""blocked_as_razor_small_until_proven"": 5}",3,3,8,03_08 14_08 14_10,tuple_edge_2039 tuple_edge_2587 tuple_edge_766,labs/g900_observatory/artifacts/csv/g900_channel_candidate_classifier_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_channel_source_inventory_001_candidates.v1.csv | labs/g900_observatory/artifacts/csv/g900_root_smoke_signature_census_001_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_exact_packet_closes.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_candidate_family_census_014_near_misses.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_candidate_gate_audit_020_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_frontier_symmetry_census_019_rows.v1.csv | labs/g900_observatory/artifacts/csv/g900_transport_deferred_gate_frontier_full_audit_018b_rows.v1.csv,false,repeated_construction_memory_no_law
